text,length,lexdiv
A,1509,0.3260437375745527
B,4123,0.3077855930147951
C,8554,0.23287350946925414
D,5638,0.28325647392692443
E,6324,0.23655913978494625
F,7935,0.2843100189035917
G,6611,0.25941612464075026
H,5833,0.24635693468198183
