,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
671,672,Dolittle,"$251,410,631","$77,047,065",30.6%,"$174,363,566",69.4%,2020
672,673,Bean,"$251,212,670","$45,319,423",18%,"$205,893,247",82%,1997
673,674,American Hustle,"$251,171,807","$150,117,807",59.8%,"$101,054,000",40.2%,2013
674,675,Enemy of the State,"$250,849,789","$111,549,836",44.5%,"$139,299,953",55.5%,1998
675,676,You've Got Mail,"$250,821,575","$115,821,495",46.2%,"$135,000,080",53.8%,1998
676,677,Sound of Freedom,"$250,570,396","$184,178,046",73.5%,"$66,392,350",26.5%,2023
677,678,Eragon,"$250,425,512","$75,030,163",30%,"$175,395,349",70%,2006
678,679,Brother Bear,"$250,397,798","$85,336,277",34.1%,"$165,061,521",65.9%,2003
679,680,The Bad Guys,"$250,387,888","$97,459,240",38.9%,"$152,928,648",61.1%,2022
680,681,The Godfather,"$250,342,030","$136,381,073",54.5%,"$113,960,957",45.5%,1972
681,682,The Mask of Zorro,"$250,288,523","$94,095,523",37.6%,"$156,193,000",62.4%,1998
682,683,Love Actually,"$250,215,630","$60,221,410",24.1%,"$189,994,220",75.9%,2003
683,684,The Ring,"$249,348,933","$129,128,133",51.8%,"$120,220,800",48.2%,2002
684,685,The Blair Witch Project,"$248,639,099","$140,539,099",56.5%,"$108,100,000",43.5%,1999
685,686,Unbreakable,"$248,118,121","$95,011,339",38.3%,"$153,106,782",61.7%,2000
686,687,Journey to the West: The Demons Strike Back,"$247,585,244","$880,346",0.4%,"$246,704,898",99.6%,2017
687,688,Dumb and Dumber,"$247,290,327","$127,190,327",51.4%,"$120,100,000",48.6%,1994
688,689,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%,2019
689,690,Grown Ups 2,"$246,984,278","$133,668,525",54.1%,"$113,315,753",45.9%,2013
690,691,The Peanuts Movie,"$246,233,113","$130,178,411",52.9%,"$116,054,702",47.1%,2015
691,692,Rango,"$245,724,603","$123,477,607",50.2%,"$122,246,996",49.8%,2011
692,693,Four Weddings and a Funeral,"$245,700,832","$52,700,832",21.4%,"$193,000,000",78.6%,1994
693,694,Face/Off,"$245,676,146","$112,276,146",45.7%,"$133,400,000",54.3%,1997
694,695,Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848","$82,051,601",33.4%,"$163,572,247",66.6%,2016
695,696,Dark Shadows,"$245,527,149","$79,727,149",32.5%,"$165,800,000",67.5%,2012
696,697,Hulk,"$245,285,165","$132,177,234",53.9%,"$113,107,931",46.1%,2003
697,698,The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%,2019
698,699,Welcome to the Sticks,"$245,144,417",-,-,"$245,144,417",100%,2008
699,700,Back to the Future Part III,"$245,077,583","$88,277,583",36%,"$156,800,000",64%,1990
700,701,Pixels,"$244,874,809","$78,747,585",32.2%,"$166,127,224",67.8%,2015
701,702,Hercules,"$244,819,862","$72,688,614",29.7%,"$172,131,248",70.3%,2014
702,703,Rush Hour,"$244,721,064","$141,186,864",57.7%,"$103,534,200",42.3%,1998
703,704,Journey to the Center of the Earth,"$244,232,688","$101,704,370",41.6%,"$142,528,318",58.4%,2008
704,705,Sully,"$243,870,033","$125,070,033",51.3%,"$118,800,000",48.7%,2016
705,706,After Earth,"$243,611,982","$60,522,097",24.8%,"$183,089,885",75.2%,2013
706,707,A Few Good Men,"$243,240,178","$141,340,178",58.1%,"$101,900,000",41.9%,1992
707,708,Cloudy with a Chance of Meatballs,"$243,006,136","$124,870,275",51.4%,"$118,135,861",48.6%,2009
708,709,8 Mile,"$242,875,078","$116,750,901",48.1%,"$126,124,177",51.9%,2002
709,710,Daddy's Home,"$242,786,137","$150,357,137",61.9%,"$92,429,000",38.1%,2015
710,711,RoboCop,"$242,688,965","$58,607,007",24.2%,"$184,081,958",75.8%,2014
711,712,Eraser,"$242,295,562","$101,295,562",41.8%,"$141,000,000",58.2%,1996
712,713,Alien: Covenant,"$240,892,187","$74,262,031",30.8%,"$166,630,156",69.2%,2017
713,714,Assassin's Creed,"$240,697,856","$54,647,948",22.7%,"$186,049,908",77.3%,2016
714,715,Click,"$240,685,326","$137,355,633",57.1%,"$103,329,693",42.9%,2006
715,716,Jiang Ziya,"$240,646,355","$214,670",<0.1%,"$240,431,685",99.9%,2020
716,717,Planes,"$240,171,783","$90,288,712",37.6%,"$149,883,071",62.4%,2013
