,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
784,785,Wild Wild West,"$222,104,681","$113,804,681",51.2%,"$108,300,000",48.8%,1999
785,786,Geostorm,"$221,900,160","$33,700,160",15.2%,"$188,200,000",84.8%,2017
786,787,"My Country, My Parents","$221,831,086","$177,133",<0.1%,"$221,653,953",99.9%,2021
787,788,Presumed Innocent,"$221,303,188","$86,303,188",39%,"$135,000,000",61%,1990
788,789,Napoleon,"$221,033,011","$61,524,375",27.8%,"$159,508,636",72.2%,2023
789,790,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%,2021
790,791,Scary Movie 3,"$220,673,217","$110,003,217",49.8%,"$110,670,000",50.2%,2003
791,792,Collateral,"$220,239,925","$101,005,703",45.9%,"$119,234,222",54.1%,2004
792,793,Inferno,"$220,021,259","$34,343,574",15.6%,"$185,677,685",84.4%,2016
793,794,Knocked Up,"$219,922,417","$148,768,917",67.6%,"$71,153,500",32.4%,2007
794,795,What Happens in Vegas,"$219,375,562","$80,277,646",36.6%,"$139,097,916",63.4%,2008
795,796,It's Complicated,"$219,103,655","$112,735,375",51.4%,"$106,368,280",48.6%,2009
796,797,The Terminal,"$219,100,084","$77,872,883",35.5%,"$141,227,201",64.5%,2004
797,798,Little Women,"$218,843,645","$108,101,214",49.4%,"$110,742,431",50.6%,2019
798,799,Captain Phillips,"$218,791,811","$107,100,855",49%,"$111,690,956",51%,2013
799,800,Anyone But You,"$218,761,610","$88,318,448",40.4%,"$130,443,162",59.6%,2023
800,801,The Prince of Egypt,"$218,613,188","$101,413,188",46.4%,"$117,200,000",53.6%,1998
801,802,Jack Reacher,"$218,340,595","$80,070,736",36.7%,"$138,269,859",63.3%,2012
802,803,Kingdom of Heaven,"$218,237,071","$47,398,413",21.7%,"$170,838,658",78.3%,2005
803,804,Smallfoot,"$218,015,531","$83,315,531",38.2%,"$134,700,000",61.8%,2018
804,805,The Emoji Movie,"$217,776,646","$86,089,513",39.5%,"$131,687,133",60.5%,2017
805,806,Smile,"$217,408,513","$105,935,048",48.7%,"$111,473,465",51.3%,2022
806,807,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%,2022
807,808,Dracula Untold,"$217,124,280","$56,280,355",25.9%,"$160,843,925",74.1%,2014
808,809,Central Intelligence,"$216,940,871","$127,440,871",58.7%,"$89,500,000",41.3%,2016
809,810,Million Dollar Baby,"$216,763,646","$100,492,203",46.4%,"$116,271,443",53.6%,2004
810,811,The Help,"$216,639,112","$169,708,112",78.3%,"$46,931,000",21.7%,2011
811,812,Twins,"$216,614,388","$111,938,388",51.7%,"$104,676,000",48.3%,1988
812,813,Valentine's Day,"$216,528,528","$110,528,528",51%,"$106,000,000",49%,2010
813,814,Superman II,"$216,385,706","$108,185,706",50%,"$108,200,000",50%,1981
814,815,Bad Teacher,"$216,197,492","$100,292,856",46.4%,"$115,904,636",53.6%,2011
815,816,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%,2020
816,817,The Croods: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%,2020
817,818,Clear and Present Danger,"$215,887,717","$122,187,717",56.6%,"$93,700,000",43.4%,1994
818,819,One Hundred and One Dalmatians,"$215,880,014","$144,880,014",67.1%,"$71,000,000",32.9%,1961
819,820,Ted 2,"$215,863,606","$81,476,385",37.7%,"$134,387,221",62.3%,2015
820,821,Bram Stoker's Dracula,"$215,862,692","$82,522,790",38.2%,"$133,339,902",61.8%,1992
821,822,Vertical Limit,"$215,663,859","$69,243,859",32.1%,"$146,420,000",67.9%,2000
822,823,Ghostbusters II,"$215,394,738","$112,494,738",52.2%,"$102,900,000",47.8%,1989
823,824,The Patriot,"$215,294,342","$113,330,342",52.6%,"$101,964,000",47.4%,2000
824,825,The Sorcerer's Apprentice,"$215,283,742","$63,150,991",29.3%,"$152,132,751",70.7%,2010
825,826,Just Go with It,"$214,945,591","$103,028,109",47.9%,"$111,917,482",52.1%,2011
826,827,The Expendables 3,"$214,657,577","$39,322,544",18.3%,"$175,335,033",81.7%,2014
827,828,Dirty Dancing,"$214,577,242","$64,577,242",30.1%,"$150,000,000",69.9%,1987
828,829,Creed II,"$214,215,889","$115,715,889",54%,"$98,500,000",46%,2018
829,830,Public Enemies,"$214,104,620","$97,104,620",45.4%,"$117,000,000",54.6%,2009
830,831,The Bourne Identity,"$214,034,224","$121,661,683",56.8%,"$92,372,541",43.2%,2002
831,832,Disclosure,"$214,015,089","$83,015,089",38.8%,"$131,000,000",61.2%,1994
832,833,"Crouching Tiger, Hidden Dragon","$213,978,518","$128,530,421",60.1%,"$85,448,097",39.9%,2000
833,834,Pulp Fiction,"$213,928,762","$107,928,762",50.4%,"$106,000,000",49.6%,1994
834,835,The Aviator,"$213,719,942","$102,610,330",48%,"$111,109,612",52%,2004
835,836,Braveheart,"$213,216,216","$75,609,945",35.5%,"$137,606,271",64.5%,1995
836,837,Into the Woods,"$212,902,959","$128,002,372",60.1%,"$84,900,587",39.9%,2014
837,838,Bedtime Stories,"$212,874,864","$110,101,975",51.7%,"$102,772,889",48.3%,2008
838,839,Miss Congeniality,"$212,742,720","$106,807,667",50.2%,"$105,935,053",49.8%,2000
839,840,Entrapment,"$212,404,396","$87,704,396",41.3%,"$124,700,000",58.7%,1999
840,841,Ace Ventura: When Nature Calls,"$212,385,533","$108,385,533",51%,"$104,000,000",49%,1995
841,842,End of Days,"$211,989,043","$66,889,043",31.6%,"$145,100,000",68.4%,1999
842,843,Bridget Jones's Baby,"$211,952,420","$24,252,420",11.4%,"$187,700,000",88.6%,2016
843,844,Fury,"$211,822,697","$85,817,906",40.5%,"$126,004,791",59.5%,2014
844,845,Battle Los Angeles,"$211,819,354","$83,552,429",39.4%,"$128,266,925",60.6%,2011
845,846,Australia,"$211,788,761","$49,554,002",23.4%,"$162,234,759",76.6%,2008
846,847,Due Date,"$211,780,824","$100,539,043",47.5%,"$111,241,781",52.5%,2010
847,848,Master and Commander: The Far Side of the World,"$211,622,535","$93,927,920",44.4%,"$117,694,615",55.6%,2003
848,849,A Series of Unfortunate Events,"$211,468,235","$118,634,549",56.1%,"$92,833,686",43.9%,2004
849,850,The Little Mermaid,"$211,343,479","$111,543,479",52.8%,"$99,800,000",47.2%,1989
850,851,Nice View,"$211,019,042",-,-,"$211,019,042",100%,2022
851,852,District 9,"$210,888,950","$115,646,235",54.8%,"$95,242,715",45.2%,2009
852,853,Moonraker,"$210,308,099","$70,308,099",33.4%,"$140,000,000",66.6%,1979
853,854,The Others,"$210,002,906","$96,578,502",46%,"$113,424,404",54%,2001
854,855,Horrible Bosses,"$209,838,559","$117,538,559",56%,"$92,300,000",44%,2011
855,856,Us and Them,"$209,221,380",-,-,"$209,221,380",100%,2018
856,857,Red Dragon,"$209,196,298","$93,149,898",44.5%,"$116,046,400",55.5%,2002
857,858,Tomorrowland,"$209,035,668","$93,436,322",44.7%,"$115,599,346",55.3%,2015
858,859,Me Before You,"$208,445,075","$56,245,075",27%,"$152,200,000",73%,2016
859,860,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%,2023
860,861,Safe House,"$208,076,205","$126,373,434",60.7%,"$81,702,771",39.3%,2012
861,862,Trolls Band Together,"$207,738,425","$102,996,915",49.6%,"$104,741,510",50.4%,2023
862,863,S.W.A.T.,"$207,725,639","$116,934,650",56.3%,"$90,790,989",43.7%,2003
863,864,DC League of Super-Pets,"$207,557,117","$93,657,117",45.1%,"$113,900,000",54.9%,2022
864,865,The Fast and the Furious,"$207,517,995","$144,745,925",69.8%,"$62,772,070",30.2%,2001
865,866,Traffic,"$207,515,725","$124,115,725",59.8%,"$83,400,000",40.2%,2000
866,867,Paranormal Activity 3,"$207,039,844","$104,028,807",50.2%,"$103,011,037",49.8%,2011
867,868,Philadelphia,"$206,678,440","$77,446,440",37.5%,"$129,232,000",62.5%,1993
868,869,The Conjuring: The Devil Made Me Do It,"$206,431,050","$65,631,050",31.8%,"$140,800,000",68.2%,2021
869,870,The Marvels,"$206,124,109","$84,500,223",41%,"$121,623,886",59%,2023
870,871,Sleepy Hollow,"$206,071,502","$101,071,502",49%,"$105,000,000",51%,1999
871,872,The Holiday,"$205,891,960","$63,224,849",30.7%,"$142,667,111",69.3%,2006
872,873,The Jungle Book,"$205,843,612","$141,843,612",68.9%,"$64,000,000",31.1%,1967
873,874,Raging Fire,"$205,842,393","$385,305",0.2%,"$205,457,088",99.8%,2021
874,875,London Has Fallen,"$205,754,447","$62,524,260",30.4%,"$143,230,187",69.6%,2016
875,876,The Break-Up,"$205,668,210","$118,703,275",57.7%,"$86,964,935",42.3%,2006
876,877,Journey to the West: Conquering the Demons,"$205,637,183","$18,058",<0.1%,"$205,619,125",100%,2013
877,878,The Ugly Truth,"$205,599,393","$88,915,214",43.2%,"$116,684,179",56.8%,2009
878,879,Birds of Prey,"$205,537,933","$84,172,791",41%,"$121,365,142",59%,2020
879,880,JFK,"$205,405,498","$70,405,498",34.3%,"$135,000,000",65.7%,1991
880,881,White House Down,"$205,366,737","$73,103,784",35.6%,"$132,262,953",64.4%,2013
881,882,Ponyo,"$205,113,519","$15,743,471",7.7%,"$189,370,048",92.3%,2008
882,883,A Dog's Purpose,"$205,035,819","$64,508,620",31.5%,"$140,527,199",68.5%,2017
883,884,Fun with Dick and Jane,"$204,681,899","$110,332,737",53.9%,"$94,349,162",46.1%,2005
884,885,Eat Pray Love,"$204,596,571","$80,574,010",39.4%,"$124,022,561",60.6%,2010
885,886,The Addams Family,"$204,394,183","$100,723,831",49.3%,"$103,670,352",50.7%,2019
886,887,Ghostbusters: Afterlife,"$204,334,455","$129,360,575",63.3%,"$74,973,880",36.7%,2021
887,888,You Don't Mess with the Zohan,"$204,313,400","$100,018,837",49%,"$104,294,563",51%,2008
888,889,Hairspray,"$203,629,185","$118,946,291",58.4%,"$84,682,894",41.6%,2007
889,890,King Arthur,"$203,567,857","$51,882,244",25.5%,"$151,685,613",74.5%,2004
890,891,Yogi Bear,"$203,509,374","$100,246,011",49.3%,"$103,263,363",50.7%,2010
891,892,Everest,"$203,427,584","$43,482,270",21.4%,"$159,945,314",78.6%,2015
892,893,Arrival,"$203,389,228","$100,546,139",49.4%,"$102,843,089",50.6%,2016
893,894,Vanilla Sky,"$203,388,341","$100,618,344",49.5%,"$102,769,997",50.5%,2001
894,895,Need for Speed,"$203,277,636","$43,577,636",21.4%,"$159,700,000",78.6%,2014
895,896,Garfield: The Movie,"$203,172,417","$75,369,589",37.1%,"$127,802,828",62.9%,2004
896,897,Patch Adams,"$202,292,902","$135,026,902",66.8%,"$67,266,000",33.2%,1998
897,898,PAW Patrol: The Mighty Movie,"$202,231,360","$65,231,360",32.3%,"$137,000,000",67.7%,2023
898,899,Teenage Mutant Ninja Turtles,"$202,084,756","$135,384,756",67%,"$66,700,000",33%,1990
899,900,Kindergarten Cop,"$201,957,688","$91,457,688",45.3%,"$110,500,000",54.7%,1990
900,901,Straight Outta Compton,"$201,634,991","$161,197,785",80%,"$40,437,206",20%,2015
901,902,21 Jump Street,"$201,585,556","$138,447,667",68.7%,"$63,137,889",31.3%,2012
902,903,Valkyrie,"$201,545,517","$83,077,833",41.2%,"$118,467,684",58.8%,2008
903,904,Open Season,"$200,811,689","$85,105,259",42.4%,"$115,706,430",57.6%,2006
904,905,Cats & Dogs,"$200,687,492","$93,385,515",46.5%,"$107,301,977",53.5%,2001
905,906,The Hunt for Red October,"$200,512,643","$122,012,643",60.8%,"$78,500,000",39.2%,1990
906,907,Percy Jackson: Sea of Monsters,"$199,850,315","$68,559,554",34.3%,"$131,290,761",65.7%,2013
907,908,The Lego Movie 2: The Second Part,"$199,603,202","$105,956,290",53.1%,"$93,646,912",46.9%,2019
908,909,Two Weeks Notice,"$199,043,471","$93,354,851",46.9%,"$105,688,620",53.1%,2002
909,910,RED,"$199,006,387","$90,380,162",45.4%,"$108,626,225",54.6%,2010
910,911,Shock Wave 2,"$198,921,659",-,-,"$198,921,659",100%,2020
911,912,City of Angels,"$198,685,114","$78,685,114",39.6%,"$120,000,000",60.4%,1998
912,913,The Pacifier,"$198,636,868","$113,086,868",56.9%,"$85,550,000",43.1%,2005
913,914,50 First Dates,"$198,520,934","$120,908,074",60.9%,"$77,612,860",39.1%,2004
914,915,Total Recall,"$198,467,607","$58,877,969",29.7%,"$139,589,638",70.3%,2012
915,916,The Island,"$198,326,350","$670,883",0.3%,"$197,655,467",99.7%,2018
916,917,The Impossible,"$198,087,212","$19,019,882",9.6%,"$179,067,330",90.4%,2012
917,918,Lost in Thailand,"$197,757,387","$57,387",<0.1%,"$197,700,000",100%,2012
918,919,Christopher Robin,"$197,744,825","$99,215,042",50.2%,"$98,529,783",49.8%,2018
919,920,Jack the Giant Slayer,"$197,687,603","$65,187,603",33%,"$132,500,000",67%,2013
920,921,Smurfs: The Lost Village,"$197,183,546","$45,020,282",22.8%,"$152,163,264",77.2%,2017
921,922,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%,2021
922,923,Spy Kids 3: Game Over,"$197,101,678","$111,761,982",56.7%,"$85,339,696",43.3%,2003
923,924,Panic Room,"$197,079,546","$96,397,334",48.9%,"$100,682,212",51.1%,2002
924,925,The Other Woman,"$196,710,396","$83,911,193",42.7%,"$112,799,203",57.3%,2014
925,926,Stargate,"$196,567,262","$71,567,262",36.4%,"$125,000,000",63.6%,1994
926,927,Beowulf,"$196,393,745","$82,280,579",41.9%,"$114,113,166",58.1%,2007
927,928,The Vow,"$196,114,570","$125,014,030",63.8%,"$71,100,540",36.2%,2012
928,929,Anger Management,"$195,745,823","$135,645,823",69.3%,"$60,100,000",30.7%,2003
929,930,Tropic Thunder,"$195,703,351","$110,515,313",56.5%,"$85,188,038",43.5%,2008
930,931,Rocketman,"$195,320,400","$96,368,160",49.3%,"$98,952,240",50.7%,2019
931,932,The Pelican Brief,"$195,268,056","$100,768,056",51.6%,"$94,500,000",48.4%,1993
932,933,The Shape of Water,"$195,243,464","$63,859,435",32.7%,"$131,384,029",67.3%,2017
933,934,The BFG,"$195,243,411","$55,483,770",28.4%,"$139,759,641",71.6%,2016
934,935,The Intern,"$194,764,672","$75,764,672",38.9%,"$119,000,000",61.1%,2015
935,936,Downton Abbey,"$194,694,725","$96,853,865",49.8%,"$97,840,860",50.2%,2019
936,937,Gnomeo & Juliet,"$193,967,670","$99,967,670",51.5%,"$94,000,000",48.5%,2011
937,938,The Sum of All Fears,"$193,921,372","$118,907,036",61.3%,"$75,014,336",38.7%,2002
938,939,Gangs of New York,"$193,772,504","$77,812,000",40.2%,"$115,960,504",59.8%,2002
939,940,The Post,"$193,764,664","$81,903,458",42.3%,"$111,861,206",57.7%,2017
940,941,The Monkey King 2,"$193,678,298","$709,982",0.4%,"$192,968,316",99.6%,2016
941,942,Paranormal Activity,"$193,355,933","$107,918,810",55.8%,"$85,437,123",44.2%,2009
942,943,Weathering with You,"$192,927,909","$8,056,636",4.2%,"$184,871,273",95.8%,2019
943,944,The Lost City,"$192,907,684","$105,344,029",54.6%,"$87,563,655",45.4%,2022
944,945,Wallace & Gromit: The Curse of the Were-Rabbit,"$192,652,752","$56,110,897",29.1%,"$136,541,855",70.9%,2005
945,946,The Equalizer,"$192,330,738","$101,530,738",52.8%,"$90,800,000",47.2%,2014
946,947,Sheep Without a Shepherd,"$191,602,146",-,-,"$191,602,146",100%,2019
947,948,The Addams Family,"$191,502,426","$113,502,426",59.3%,"$78,000,000",40.7%,1991
948,949,The Longest Yard,"$191,466,556","$158,119,460",82.6%,"$33,347,096",17.4%,2005
949,950,The Equalizer 3,"$191,067,560","$92,373,751",48.4%,"$98,693,809",51.6%,2023
950,951,The Santa Clause,"$190,539,357","$145,539,357",76.4%,"$45,000,000",23.6%,1994
951,952,Cheaper by the Dozen,"$190,538,630","$138,614,544",72.8%,"$51,924,086",27.2%,2003
952,953,The Equalizer 2,"$190,400,157","$102,084,362",53.6%,"$88,315,795",46.4%,2018
953,954,Abominable,"$190,304,772","$61,270,390",32.2%,"$129,034,382",67.8%,2019
954,955,Hollow Man,"$190,213,455","$73,209,340",38.5%,"$117,004,115",61.5%,2000
955,956,Outbreak,"$189,859,560","$67,659,560",35.6%,"$122,200,000",64.4%,1995
956,957,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%,2019
957,958,The X Files,"$189,176,423","$83,898,313",44.4%,"$105,278,110",55.6%,1998
958,959,Insidious: The Red Door,"$189,086,877","$82,156,962",43.4%,"$106,929,915",56.6%,2023
959,960,Breakup Buddies,"$189,017,596","$777,896",0.4%,"$188,239,700",99.6%,2014
960,961,Rambo III,"$189,015,611","$53,715,611",28.4%,"$135,300,000",71.6%,1988
961,962,The Secret Life of Walter Mitty,"$188,133,322","$58,236,838",31%,"$129,896,484",69%,2013
962,963,Project Gutenberg,"$188,116,796",-,-,"$188,116,796",100%,2018
963,964,Jaws 2,"$187,884,007","$81,766,007",43.5%,"$106,118,000",56.5%,1978
964,965,12 Years a Slave,"$187,734,091","$56,671,993",30.2%,"$131,062,098",69.8%,2013
965,966,Heat,"$187,436,818","$67,436,818",36%,"$120,000,000",64%,1995
966,967,Mr. Popper's Penguins,"$187,361,754","$68,224,452",36.4%,"$119,137,302",63.6%,2011
967,968,The Grudge,"$187,281,115","$110,359,362",58.9%,"$76,921,753",41.1%,2004
968,969,I Now Pronounce You Chuck & Larry,"$187,134,117","$120,059,556",64.2%,"$67,074,561",35.8%,2007
969,970,The Horse Whisperer,"$186,883,563","$75,383,563",40.3%,"$111,500,000",59.7%,1998
970,971,Walk the Line,"$186,797,986","$119,519,402",64%,"$67,278,584",36%,2005
971,972,Jian Bing Man,"$186,699,768",-,-,"$186,699,768",100%,2015
972,973,The Jungle Book 2,"$186,303,759","$47,901,582",25.7%,"$138,402,177",74.3%,2003
973,974,The Final Destination,"$186,167,139","$66,477,700",35.7%,"$119,689,439",64.3%,2009
974,975,Atlantis: The Lost Empire,"$186,053,725","$84,056,472",45.2%,"$101,997,253",54.8%,2001
975,976,Inside Man,"$186,003,591","$88,513,495",47.6%,"$97,490,096",52.4%,2006
976,977,The Waterboy,"$185,991,646","$161,491,646",86.8%,"$24,500,000",13.2%,1998
977,978,Hugo,"$185,770,310","$73,864,507",39.8%,"$111,905,803",60.2%,2011
978,979,Pitch Perfect 3,"$185,400,345","$104,897,530",56.6%,"$80,502,815",43.4%,2017
979,980,Watchmen,"$185,382,813","$107,509,799",58%,"$77,873,014",42%,2009
980,981,The Birdcage,"$185,260,553","$124,060,553",67%,"$61,200,000",33%,1996
981,982,Snow White and the Seven Dwarfs,"$184,960,747","$184,925,486",100%,"$35,261",<0.1%,1937
982,983,Moulin Rouge!,"$184,934,573","$57,386,607",31%,"$127,547,966",69%,2001
983,984,Ode to My Father,"$184,827,559","$2,300,121",1.2%,"$182,527,438",98.8%,2014
984,985,Hop,"$184,367,665","$108,498,305",58.8%,"$75,869,360",41.2%,2011
985,986,Jupiter Ascending,"$184,287,723","$47,387,723",25.7%,"$136,900,000",74.3%,2015
986,987,Bad Moms,"$183,936,074","$113,257,297",61.6%,"$70,678,777",38.4%,2016
987,988,Storks,"$183,800,603","$72,800,603",39.6%,"$111,000,000",60.4%,2016
988,989,Knowing,"$183,658,498","$79,957,634",43.5%,"$103,700,864",56.5%,2007
989,990,102 Dalmatians,"$183,611,771","$66,957,026",36.5%,"$116,654,745",63.5%,2000
990,991,Stand by Me Doraemon,"$183,442,714",-,-,"$183,442,714",100%,2014
991,992,The Hitman's Bodyguard,"$183,431,147","$75,468,583",41.1%,"$107,962,564",58.9%,2017
992,993,Paul Blart: Mall Cop,"$183,348,429","$146,336,178",79.8%,"$37,012,251",20.2%,2009
993,994,Wayne's World,"$183,097,323","$121,697,323",66.5%,"$61,400,000",33.5%,1992
994,995,Maverick,"$183,031,272","$101,631,272",55.5%,"$81,400,000",44.5%,1994
995,996,Mirror Mirror,"$183,018,522","$64,935,167",35.5%,"$118,083,355",64.5%,2012
996,997,The Man in the Iron Mask,"$182,968,902","$56,968,902",31.1%,"$126,000,000",68.9%,1998
997,998,Cape Fear,"$182,291,969","$79,091,969",43.4%,"$103,200,000",56.6%,1991
998,999,The Haunted Mansion,"$182,290,266","$75,847,266",41.6%,"$106,443,000",58.4%,2003
999,1000,The Monkey King: Havoc in Heaven's Palace,"$182,206,924",-,-,"$182,206,924",100%,2014
1000,1001,While You Were Sleeping,"$182,057,016","$81,057,016",44.5%,"$101,000,000",55.5%,1995
1001,1002,The Bridges of Madison County,"$182,016,617","$71,516,617",39.3%,"$110,500,000",60.7%,1995
1002,1003,From Vegas to Macau III,"$181,732,879",-,-,"$181,732,879",100%,2016
1003,1004,Poseidon,"$181,674,817","$60,674,817",33.4%,"$121,000,000",66.6%,2006
1004,1005,The First Wives Club,"$181,489,203","$105,489,203",58.1%,"$76,000,000",41.9%,1996
1005,1006,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%,2021
1006,1007,Scooby-Doo 2: Monsters Unleashed,"$181,239,132","$84,239,132",46.5%,"$97,000,000",53.5%,2004
1007,1008,Hot Shots!,"$181,096,164","$69,467,617",38.4%,"$111,628,547",61.6%,1991
1008,1009,Road to Perdition,"$181,001,478","$104,454,762",57.7%,"$76,546,716",42.3%,2002
1009,1010,Kill Bill: Vol. 1,"$180,908,413","$70,099,045",38.8%,"$110,809,368",61.2%,2003
1010,1011,The Scorpion King,"$180,630,907","$91,047,077",50.4%,"$89,583,830",49.6%,2002
1011,1012,Sweet Home Alabama,"$180,622,424","$127,223,418",70.4%,"$53,399,006",29.6%,2002
1012,1013,Daddy's Home 2,"$180,613,824","$104,029,443",57.6%,"$76,584,381",42.4%,2017
1013,1014,Hacksaw Ridge,"$180,563,636","$67,209,615",37.2%,"$113,354,021",62.8%,2016
1014,1015,Deja Vu,"$180,557,550","$64,038,616",35.5%,"$116,518,934",64.5%,2006
1015,1016,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,513,586","$118,613,586",65.7%,"$61,900,000",34.3%,2023
1016,1017,M3GAN,"$180,089,109","$95,159,005",52.8%,"$84,930,104",47.2%,2022
1017,1018,Dangerous Minds,"$179,519,401","$84,919,401",47.3%,"$94,600,000",52.7%,1995
1018,1019,The Dictator,"$179,379,533","$59,650,222",33.2%,"$119,729,311",66.8%,2012
1019,1020,The League of Extraordinary Gentlemen,"$179,265,204","$66,465,204",37.1%,"$112,800,000",62.9%,2003
1020,1021,Allegiant,"$179,246,868","$66,184,051",36.9%,"$113,062,817",63.1%,2016
1021,1022,Daredevil,"$179,179,718","$102,543,518",57.2%,"$76,636,200",42.8%,2003
1022,1023,City Slickers,"$179,033,791","$124,033,791",69.3%,"$55,000,000",30.7%,1991
1023,1024,He's Just Not That Into You,"$178,866,158","$93,953,653",52.5%,"$84,912,505",47.5%,2009
1024,1025,Eagle Eye,"$178,767,383","$101,440,743",56.7%,"$77,326,640",43.3%,2008
1025,1026,Along Came Polly,"$178,311,729","$88,097,164",49.4%,"$90,214,565",50.6%,2004
1026,1027,Flushed Away,"$178,281,554","$64,665,672",36.3%,"$113,615,882",63.7%,2006
1027,1028,Scary Movie 4,"$178,262,620","$90,710,620",50.9%,"$87,552,000",49.1%,2006
1028,1029,Dante's Peak,"$178,127,760","$67,127,760",37.7%,"$111,000,000",62.3%,1997
1029,1030,Brokeback Mountain,"$178,064,141","$83,043,761",46.6%,"$95,020,380",53.4%,2005
1030,1031,Patriot Games,"$178,051,587","$83,351,587",46.8%,"$94,700,000",53.2%,1992
1031,1032,Flubber,"$177,977,226","$92,977,226",52.2%,"$85,000,000",47.8%,1997
1032,1033,Baywatch,"$177,856,751","$58,060,186",32.6%,"$119,796,565",67.4%,2017
1033,1034,Double Jeopardy,"$177,841,558","$116,741,558",65.6%,"$61,100,000",34.4%,1999
1034,1035,War Horse,"$177,584,879","$79,884,879",45%,"$97,700,000",55%,2011
1035,1036,Paranormal Activity 2,"$177,512,032","$84,752,907",47.7%,"$92,759,125",52.3%,2010
1036,1037,How to Lose a Guy in 10 Days,"$177,503,042","$105,813,373",59.6%,"$71,689,669",40.4%,2003
1037,1038,Alien vs. Predator,"$177,427,090","$80,282,231",45.2%,"$97,144,859",54.8%,2004
1038,1039,Hero,"$177,395,557","$53,710,019",30.3%,"$123,685,538",69.7%,2002
1039,1040,The 40-Year-Old Virgin,"$177,378,645","$109,449,237",61.7%,"$67,929,408",38.3%,2005
1040,1041,The Butler,"$177,313,795","$116,632,095",65.8%,"$60,681,700",34.2%,2013
1041,1042,The Haunting,"$177,311,151","$91,411,151",51.6%,"$85,900,000",48.4%,1999
1042,1043,The Descendants,"$177,243,185","$82,584,160",46.6%,"$94,659,025",53.4%,2011
1043,1044,The A-Team,"$177,238,796","$77,222,099",43.6%,"$100,016,697",56.4%,2010
1044,1045,Tootsie,"$177,200,271","$177,200,000",100%,$271,-,1982
1045,1046,In the Line of Fire,"$176,997,168","$102,314,823",57.8%,"$74,682,345",42.2%,1993
1046,1047,Bob Marley: One Love,"$176,976,439","$96,676,439",54.6%,"$80,300,000",45.4%,2024
1047,1048,Analyze This,"$176,885,658","$106,885,658",60.4%,"$70,000,000",39.6%,1999
1048,1049,Looper,"$176,506,819","$66,486,205",37.7%,"$110,020,614",62.3%,2012
1049,1050,Serial Bad Weddings,"$176,404,493",-,-,"$176,404,493",100%,2014
1050,1051,Ip Man 4: The Finale,"$176,345,966","$3,956,031",2.2%,"$172,389,935",97.8%,2019
1051,1052,Dr. Dolittle 2,"$176,104,344","$112,952,899",64.1%,"$63,151,445",35.9%,2001
1052,1053,The Italian Job,"$176,070,171","$106,128,601",60.3%,"$69,941,570",39.7%,2003
1053,1054,The Bucket List,"$175,372,502","$93,466,502",53.3%,"$81,906,000",46.7%,2007
1054,1055,Sleeping with the Enemy,"$174,999,005","$101,599,005",58.1%,"$73,400,000",41.9%,1991
1055,1056,Amélie,"$174,919,889","$33,712,444",19.3%,"$141,207,445",80.7%,2001
1056,1057,Cowboys & Aliens,"$174,822,325","$100,240,551",57.3%,"$74,581,774",42.7%,2011
1057,1058,The Mule,"$174,804,407","$103,804,407",59.4%,"$71,000,000",40.6%,2018
1058,1059,The Grand Budapest Hotel,"$174,567,384","$59,301,324",34%,"$115,266,060",66%,2014
1059,1060,George of the Jungle,"$174,463,257","$105,263,257",60.3%,"$69,200,000",39.7%,1997
1060,1061,Evan Almighty,"$174,440,724","$100,462,298",57.6%,"$73,978,426",42.4%,2007
1061,1062,John Wick: Chapter 2,"$174,348,632","$92,029,184",52.8%,"$82,319,448",47.2%,2017
1062,1063,Creed,"$174,178,883","$109,778,883",63%,"$64,400,000",37%,2015
1063,1064,Identity Thief,"$173,965,010","$134,506,920",77.3%,"$39,458,090",22.7%,2013
1064,1065,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.5%,"$119,102,218",68.5%,2018
1065,1066,Big Momma's House,"$173,959,438","$117,559,438",67.6%,"$56,400,000",32.4%,2000
1066,1067,In Time,"$173,930,596","$37,520,095",21.6%,"$136,410,501",78.4%,2011
1067,1068,Operation Mekong,"$173,839,072","$800,012",0.5%,"$173,039,060",99.5%,2016
1068,1069,Anchorman 2: The Legend Continues,"$173,649,931","$127,352,707",73.3%,"$46,297,224",26.7%,2013
1069,1070,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%,2019
1070,1071,The Boy and the Heron,"$173,310,343","$46,741,225",27%,"$126,569,118",73%,2023
1071,1072,The Girl on the Train,"$173,185,859","$75,395,035",43.5%,"$97,790,824",56.5%,2016
